id,prediction,total_deaths_per_million,total_cases_per_million,gdp_per_capita,hospital_beds_per_thousand,location
1,0,55.975,1319.09,1803.987,0.5,Afghanistan
2,0,406.561,19857.53,11803.431,2.89,Albania
3,0,62.598,2257.369,13913.839,1.9,Algeria
4,0,51.058,1613.43,21490.943,3.8,Antigua and Barbuda
5,1,951.815,35449.396,18933.907,5.0,Argentina
6,1,943.901,53420.013,8787.58,4.2,Armenia
7,0,35.647,1112.986,44648.71,3.84,Australia
8,1,672.744,39455.498,45436.686,7.37,Austria
9,0,253.965,21361.107,15847.419,4.7,Azerbaijan
10,1,432.297,19951.786,27717.847,2.9,Bahamas
11,1,206.279,54166.62,43290.705,2.0,Bahrain
12,0,45.595,3104.396,3523.984,0.8,Bangladesh
13,0,24.359,1291.014,16978.068,5.8,Barbados
14,0,148.582,20150.019,17167.967,11.0,Belarus
15,1,1670.547,55343.594,42658.576,5.64,Belgium
16,0,606.105,26829.569,7824.362,1.3,Belize
17,0,3.629,264.369,2064.236,0.5,Benin
18,0,782.573,13440.128,6885.829,1.1,Bolivia
19,0,1226.525,33666.635,11713.895,3.5,Bosnia and Herzegovina
20,0,17.01,5963.961,15807.374,1.8,Botswana
21,1,906.481,35583.233,14103.452,2.2,Brazil
22,1,6.857,347.442,71809.251,2.7,Brunei
23,1,1065.706,28710.165,18563.307,7.454,Bulgaria
24,0,3.923,312.726,1703.102,0.4,Burkina Faso
25,0,0.168,68.036,702.225,0.8,Burundi
26,0,16.876,989.872,3364.926,1.3,Cameroon
27,1,407.687,15070.866,44017.591,2.5,Canada
28,0,201.443,21137.147,6222.554,2.1,Cape Verde
29,0,13.044,1027.172,661.24,1.0,Central African Republic
30,1,862.514,31595.491,22767.037,2.11,Chile
31,0,3.319,66.557,15308.712,4.34,China
32,0,837.61,31736.055,13254.949,1.71,Colombia
33,0,10.35,879.72,1413.89,2.2,Comoros
34,1,423.234,32743.476,15524.995,1.13,Costa Rica
35,1,924.422,50324.607,22669.797,5.54,Croatia
36,1,133.577,24334.998,32415.132,3.4,Cyprus
37,1,1055.376,63983.86,32605.906,6.63,Czechia
38,1,211.664,27463.471,46682.515,2.5,Denmark
39,0,61.741,5883.591,2705.406,1.4,Djibouti
40,0,221.702,15511.291,14600.861,1.6,Dominican Republic
41,0,793.57,11921.175,10581.936,1.5,Ecuador
42,0,73.485,1321.481,10550.206,1.6,Egypt
43,0,202.43,7001.787,7292.458,1.3,El Salvador
44,0,61.298,3740.596,22604.873,2.1,Equatorial Guinea
45,0,0.282,344.008,1510.459,0.7,Eritrea
46,1,166.599,19813.213,29481.252,4.69,Estonia
47,0,150.841,7700.635,7738.975,2.1,Eswatini
48,0,16.64,1073.279,1729.927,0.3,Ethiopia
49,0,2.231,54.66,8702.975,2.3,Fiji
50,0,99.265,6392.673,40585.721,3.28,Finland
51,1,983.615,40309.0,38605.671,5.98,France
52,0,28.755,4272.759,16562.413,6.3,Gabon
53,0,51.31,1571.174,1561.767,1.1,Gambia
54,1,612.407,56190.816,9745.079,2.6,Georgia
55,1,385.122,20196.101,45229.245,8.0,Germany
56,0,10.781,1759.762,4227.63,0.9,Ghana
57,0,453.802,13141.635,24574.382,4.21,Greece
58,0,266.863,7607.183,7423.808,0.6,Guatemala
59,0,6.092,1042.276,1998.926,0.3,Guinea
60,0,208.503,8010.842,7435.047,1.6,Guyana
61,0,20.697,873.315,1653.173,0.7,Haiti
62,0,314.096,12207.651,4541.795,0.7,Honduras
63,1,961.87,32873.654,26777.561,7.02,Hungary
64,1,84.982,16808.791,46482.958,2.91,Iceland
65,0,107.564,7423.782,6426.674,0.53,India
66,0,79.346,2658.352,11188.744,1.04,Indonesia
67,0,654.174,14435.509,19082.62,1.5,Iran
68,0,318.23,14756.441,15663.986,1.4,Iraq
69,1,448.176,17910.622,67335.293,2.96,Ireland
