geo,name,year,"Vaccine importance, Strongly agree (%)","Vaccine importance,Tend to agree (%)","Vaccine importance,Tend to disagree (%)","Vaccine importance,Strongly disagree (%)","Vaccine importance,Agree (%)","Vaccine importance,Disagree (%)","Vaccine importance,Do not know / Refused (%)","vaccine safety,Strongly agree (%)","vaccine safety,Tend to agree(%)","vaccine safety,Tend to disagree(%)","vaccine safety,Strongly disagree(%)","vaccine safety,Agree(%)","vaccine safety,Disagree(%)","Vaccine safety,Do not know / Refused (%)"," vaccine effectiveness,Strongly agree (%)","vaccine effectiveness,Tend to agree (%)","vaccine effectiveness,Tend to disagree (%)","vaccine effectiveness,Strongly disagree (%)","vaccine effectiveness,Agree (%)","vaccine effectiveness,Disagree (%)","Vaccine effectiveness,Do not know / Refused (%)"," vaccine compatibility with religious beliefs,Strongly agree (%)","vaccine compatibility with religious beliefs,Tend to agree (%)","vaccine compatibility with religious beliefs,Tend to disagree (%)","vaccine compatibility with religious beliefs,Strongly disagree (%)","vaccine compatibility with religious beliefs,Agree (%) ","vaccine compatibility with religious beliefs,Disagree (%)","vaccine compatibility with religious beliefs,Do not know / no response (%)"
afg,Afghanistan,2018,84.63,12.93,1.56,0.54,97.55,2.10,,72.41,21.83,3.55,0.92,94.24,4.47,0.52,78.28,17.69,1.07,0.77,95.97,1.83,0.35,,,,,,,
alb,Albania,2018,89.27,7.34,1.19,0.48,96.61,1.67,0.54,49.44,14.40,11.01,4.84,63.84,15.85,5.37,51.98,21.91,6.66,2.30,73.89,8.97,3.60,,,,,,,
dza,Algeria,2018,65.04,18.77,1.85,1.85,83.81,3.70,3.26,42.76,20.26,7.69,3.59,63.02,11.28,7.02,45.03,19.43,4.90,2.80,64.46,7.70,9.88,,,,,,,
arg,Argentina,2018,93.76,3.95,0.57,0.64,97.70,1.21,0.42,76.67,11.01,3.53,1.32,87.68,4.85,1.26,72.99,16.47,2.09,0.86,89.46,2.95,0.75,,,,,,,
arm,Armenia,2018,41.23,31.84,6.25,5.93,73.07,12.17,5.12,21.38,20.64,12.59,7.98,42.02,20.57,11.31,27.68,27.47,7.47,5.00,55.14,12.47,12.63,,,,,,,
aus,Australia,2018,83.46,8.50,1.50,1.77,91.97,3.28,0.27,60.99,22.33,3.54,3.36,83.33,6.91,1.42,71.57,18.68,2.35,1.74,90.25,4.09,1.00,,,,,,,
aut,Austria,2018,56.52,18.08,3.65,8.14,74.60,11.79,1.05,33.67,21.19,12.91,8.14,54.86,21.05,1.44,43.12,25.33,7.16,4.13,68.45,11.30,0.11,,,,,,,
aze,Azerbaijan,2018,58.50,18.86,4.19,4.13,77.36,8.32,6.21,46.36,17.03,6.72,4.51,63.39,11.22,8.81,49.74,19.74,4.33,4.09,69.48,8.42,5.98,,,,,,,
bgd,Bangladesh,2018,95.52,3.30,0.29,0.11,98.82,0.40,0.37,94.46,3.45,0.32,0.59,97.91,0.91,0.57,93.45,4.36,0.34,0.11,97.81,0.45,0.90,,,,,,,
blr,Belarus,2018,40.73,20.71,4.64,2.96,61.43,7.60,8.25,24.16,12.16,10.66,4.12,36.32,14.77,11.60,29.32,16.54,6.63,3.21,45.85,9.83,9.64,,,,,,,
